epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
42,9597.73,0.80365,0.46489,0.02795,0.0002,0.96803,0.97019,0.9851,0.82336,0.65708,0.24376,0.02155,0,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,9825.49,0.79848,0.45873,0.02836,0.0002,0.97092,0.97476,0.98377,0.82554,0.65165,0.23913,0.02138,0,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,10053.5,0.79581,0.46506,0.02885,0.00028,0.97242,0.96988,0.98404,0.82408,0.65391,0.24319,0.02174,0,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,10281.8,0.79067,0.46316,0.02993,0.00024,0.9707,0.96877,0.98394,0.82574,0.65326,0.24193,0.02275,0,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,10509.7,0.78421,0.45508,0.02954,0.00027,0.97169,0.96911,0.98361,0.82529,0.64905,0.24046,0.02291,0,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,10737.6,0.77499,0.45279,0.0292,0.00028,0.97042,0.97429,0.98597,0.82666,0.64661,0.24104,0.02254,0,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,10965.6,0.77709,0.45628,0.02985,0.00025,0.97318,0.97182,0.98449,0.82695,0.64589,0.23674,0.02268,0,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,11193.5,0.77659,0.44405,0.02953,0.00027,0.9745,0.97028,0.98626,0.8294,0.64115,0.23615,0.0226,0,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,11422,0.77331,0.44773,0.02952,0.00027,0.97194,0.97092,0.98552,0.83043,0.64097,0.23698,0.0227,0,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,11649.6,0.7704,0.44479,0.02923,0.00026,0.96848,0.97477,0.98588,0.83082,0.63988,0.23363,0.02246,0,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,11877.2,0.76523,0.44238,0.02889,0.00023,0.97002,0.96955,0.98539,0.83094,0.63904,0.23675,0.0223,0,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,12104.6,0.75835,0.43191,0.02838,0.00028,0.97423,0.96628,0.9837,0.83044,0.63818,0.23572,0.02205,0,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,12331.8,0.75857,0.42309,0.02838,0.00025,0.97292,0.97019,0.9861,0.83118,0.63833,0.23298,0.02203,0,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,12559.6,0.75926,0.42162,0.02858,0.0002,0.97767,0.96483,0.98613,0.83234,0.63606,0.23202,0.02178,0,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,12787.9,0.75949,0.41768,0.02768,0.00026,0.97361,0.97118,0.98636,0.83237,0.63458,0.23103,0.02158,0,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,13016.3,0.74,0.41188,0.02891,0.00019,0.97264,0.97602,0.98675,0.8327,0.63424,0.22832,0.0214,0,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,13243.9,0.74547,0.41438,0.02805,0.00023,0.97709,0.97266,0.98666,0.83257,0.63347,0.22527,0.02142,0,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,13471.3,0.73936,0.41471,0.02867,0.00023,0.9734,0.97505,0.98644,0.83333,0.63179,0.22594,0.02141,0,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,13699.1,0.73611,0.42029,0.0287,0.0002,0.97219,0.97352,0.98626,0.8334,0.6302,0.22869,0.02149,0,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,13926.9,0.73703,0.40396,0.02848,0.00024,0.97657,0.97272,0.98666,0.83425,0.62985,0.22358,0.0216,0,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,14155.8,0.72023,0.38908,0.02841,0.0002,0.9736,0.97424,0.98658,0.83441,0.62893,0.22356,0.02164,0,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,14383.5,0.72746,0.40189,0.02846,0.0002,0.97692,0.97067,0.98639,0.83464,0.62832,0.22437,0.02162,0,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,14612.8,0.72896,0.4042,0.0283,0.00018,0.97476,0.972,0.9863,0.83455,0.62782,0.22502,0.02151,0,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,14840.2,0.71921,0.40359,0.02778,0.00017,0.97559,0.97356,0.98651,0.83474,0.62711,0.22465,0.0214,0,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,15068.1,0.71165,0.38714,0.02775,0.00016,0.97519,0.97215,0.98647,0.83445,0.6268,0.22529,0.02136,0,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,15294.8,0.71209,0.3871,0.02847,0.0002,0.97722,0.97152,0.98644,0.83587,0.62585,0.2266,0.02137,0,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,15523.4,0.70706,0.3823,0.02778,0.00017,0.97533,0.97182,0.98656,0.83621,0.62436,0.22862,0.02139,0,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,15751.4,0.69911,0.37285,0.02798,0.00017,0.97504,0.97266,0.98666,0.83688,0.62412,0.22725,0.02143,0,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,15978.5,0.69297,0.37025,0.02792,0.00016,0.97312,0.97352,0.9866,0.83668,0.62367,0.22655,0.02145,0,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,16207.3,0.69162,0.37259,0.02827,0.00016,0.9766,0.97163,0.98661,0.8375,0.62346,0.22623,0.02147,0,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,16436.6,0.69172,0.37338,0.02808,0.00014,0.97124,0.97537,0.98645,0.83734,0.62322,0.22615,0.02148,0,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,16663.9,0.68686,0.37405,0.0283,0.00015,0.97272,0.97413,0.98653,0.83661,0.62283,0.22677,0.02151,0,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,16891,0.68316,0.36533,0.02813,0.00014,0.97563,0.96959,0.98647,0.83631,0.62302,0.22695,0.02155,0,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,17118.1,0.67666,0.35477,0.02793,0.00015,0.97437,0.9734,0.98459,0.83636,0.62262,0.22522,0.02162,0,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,17345.8,0.67672,0.35207,0.02758,0.00013,0.97669,0.97252,0.9846,0.83645,0.62236,0.22437,0.02163,0,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,17572.6,0.66624,0.36045,0.02847,0.00012,0.97691,0.97098,0.98454,0.83619,0.62211,0.22662,0.02163,0,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,17801.6,0.66348,0.35468,0.02766,0.00012,0.97451,0.97241,0.98437,0.83634,0.62205,0.22704,0.02162,0,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,18028.8,0.66002,0.34529,0.02785,0.0001,0.97468,0.97298,0.98448,0.83647,0.62166,0.2264,0.02166,0,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,18256.2,0.66648,0.35472,0.02791,0.00011,0.97394,0.97368,0.98439,0.83658,0.62145,0.22483,0.02168,0,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,18484.1,0.64802,0.35044,0.02808,0.00011,0.97609,0.97302,0.98434,0.83653,0.6209,0.22485,0.0217,0,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,18712,0.64775,0.34888,0.02773,0.00012,0.97561,0.97349,0.98473,0.83697,0.62072,0.22444,0.02172,0,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,18938.9,0.65205,0.34821,0.02858,9e-05,0.97464,0.97317,0.98455,0.8366,0.62033,0.22682,0.02173,0,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,19165.9,0.63914,0.34152,0.02751,8e-05,0.97512,0.9732,0.9846,0.83697,0.62022,0.22658,0.02173,0,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,19392.9,0.64264,0.33669,0.02814,7e-05,0.97544,0.97346,0.98468,0.83653,0.62016,0.22644,0.02178,0,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,19619.8,0.64006,0.33635,0.02788,8e-05,0.97444,0.97254,0.98461,0.83686,0.6196,0.22653,0.02178,0,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
